Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
Australia,won,Australia,lost,first,New Zealand,Christchurch,26-Feb-00,New Zealand,Away,Home,first,2nd,lost,48 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,won,2nd,Australia,Christchurch,26-Feb-00,New Zealand,Home,Away,2nd,first,won,48 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,2nd,New Zealand,Napier,1-Mar-00,New Zealand,Away,Home,2nd,first,won,5 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Australia,lost,first,Australia,Napier,1-Mar-00,New Zealand,Home,Away,first,2nd,lost,5 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,lost,2nd,Australia,Auckland,3-Mar-00,New Zealand,Home,Away,2nd,first,lost,7 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,lost,New Zealand,won,first,New Zealand,Auckland,3-Mar-00,New Zealand,Away,Home,first,2nd,won,7 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
India,won,India,lost,2nd,South Africa,Kochi,9-Mar-00,India,Home,Away,2nd,first,lost,3 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
South Africa,lost,India,won,first,India,Kochi,9-Mar-00,India,Away,Home,first,2nd,won,3 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
India,won,India,lost,2nd,South Africa,Jamshedpur,12-Mar-00,India,Home,Away,2nd,first,lost,6 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
South Africa,lost,India,won,first,India,Jamshedpur,12-Mar-00,India,Away,Home,first,2nd,won,6 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,2nd,India,Faridabad,15-Mar-00,India,Away,Home,2nd,first,won,2 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
India,lost,South Africa,lost,first,South Africa,Faridabad,15-Mar-00,India,Home,Away,first,2nd,lost,2 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
India,won,India,lost,2nd,South Africa,Vadodara,17-Mar-00,India,Home,Away,2nd,first,lost,4 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead
South Africa,lost,India,won,first,India,Vadodara,17-Mar-00,India,Away,Home,first,2nd,won,4 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead
