Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
Ireland,lost,India,won,first,India,Hamilton,10-Mar-15,New Zealand,Neutral,Neutral,first,2nd,won,8 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,won,2nd,Bangladesh,Hamilton,13-Mar-15,New Zealand,Home,Away,2nd,first,won,3 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Bangladesh,lost,New Zealand,lost,first,New Zealand,Hamilton,13-Mar-15,New Zealand,Away,Home,first,2nd,lost,3 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
England,won,England,won,2nd,Afghanistan,Sydney,13-Mar-15,Australia,Neutral,Neutral,2nd,first,won,9 wickets,lost,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
Afghanistan,lost,England,lost,first,England,Sydney,13-Mar-15,Australia,Neutral,Neutral,first,2nd,lost,9 wickets,won,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
India,won,India,won,2nd,Zimbabwe,Auckland,14-Mar-15,New Zealand,Neutral,Neutral,2nd,first,won,6 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Zimbabwe,lost,India,lost,first,India,Auckland,14-Mar-15,New Zealand,Neutral,Neutral,first,2nd,lost,6 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Ireland,lost,Pakistan,won,first,Pakistan,Adelaide,15-Mar-15,Australia,Neutral,Neutral,first,2nd,won,7 wickets,lost, fast/dusty/dry,2ndinningwinner,fast/ high bounce
South Africa,won,South Africa,lost,2nd,Sri Lanka,Sydney,18-Mar-15,Australia,Neutral,Neutral,2nd,first,lost,9 wickets,won,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,South Africa,won,first,South Africa,Sydney,18-Mar-15,Australia,Neutral,Neutral,first,2nd,won,9 wickets,lost,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
India,won,India,won,first,Bangladesh,Melbourne,19-Mar-15,Australia,Neutral,Neutral,first,2nd,won,109 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
Bangladesh,lost,India,lost,2nd,India,Melbourne,19-Mar-15,Australia,Neutral,Neutral,2nd,first,lost,109 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,Pakistan,Adelaide,20-Mar-15,Australia,Home,Away,2nd,first,lost,6 wickets,won, fast/dusty/dry,2ndinningwinner,fast/ high bounce
New Zealand,won,New Zealand,won,first,West Indies,Wellington,21-Mar-15,New Zealand,Home,Away,first,2nd,won,143 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
West Indies,lost,New Zealand,lost,2nd,New Zealand,Wellington,21-Mar-15,New Zealand,Away,Home,2nd,first,lost,143 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,lost,2nd,South Africa,Auckland,24-Mar-15,New Zealand,Home,Away,2nd,first,lost,4 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
South Africa,lost,New Zealand,won,first,New Zealand,Auckland,24-Mar-15,New Zealand,Away,Home,first,2nd,won,4 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,India,Sydney,26-Mar-15,Australia,Home,Away,first,2nd,won,95 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
India,lost,Australia,lost,2nd,Australia,Sydney,26-Mar-15,Australia,Away,Home,2nd,first,lost,95 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,New Zealand,Melbourne,29-Mar-15,Australia,Home,Away,2nd,first,lost,7 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
New Zealand,lost,Australia,won,first,Australia,Melbourne,29-Mar-15,Australia,Away,Home,first,2nd,won,7 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
Bangladesh,won,Bangladesh,won,first,Pakistan,Dhaka,17-Apr-15,Bangladesh,Home,Away,first,2nd,won,79 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,won,Bangladesh,lost,2nd,Pakistan,Dhaka,19-Apr-15,Bangladesh,Home,Away,2nd,first,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,won,Bangladesh,lost,2nd,Pakistan,Dhaka,22-Apr-15,Bangladesh,Home,Away,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Zimbabwe,lost,Pakistan,lost,2nd,Pakistan,Lahore,26-May-15,Pakistan,Away,Home,2nd,first,lost,41 runs,won,flat/dead,1stinningwinner, flat/dead
Zimbabwe,lost,Pakistan,lost,first,Pakistan,Lahore,29-May-15,Pakistan,Away,Home,first,2nd,lost,6 wickets,won,flat/dead,2ndinningwinner, flat/dead
England,won,England,lost,first,New Zealand,Birmingham,9-Jun-15,England,Home,Away,first,2nd,lost,210 runs,won, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
New Zealand,lost,England,won,2nd,England,Birmingham,9-Jun-15,England,Away,Home,2nd,first,won,210 runs,lost, fast/green/bouncy,1stinningwinner,fast/green/bouncy/swing
New Zealand,won,New Zealand,won,first,England,The Oval,12-Jun-15,England,Away,Home,first,2nd,won,13 runs,lost,green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,lost,New Zealand,lost,2nd,New Zealand,The Oval,12-Jun-15,England,Home,Away,2nd,first,lost,13 runs,won,green/bouncy,1stinningwinner,fast/green/bouncy/swing
New Zealand,won,New Zealand,lost,2nd,England,Southampton,14-Jun-15,England,Away,Home,2nd,first,lost,3 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,lost,New Zealand,won,first,New Zealand,Southampton,14-Jun-15,England,Home,Away,first,2nd,won,3 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,lost,2nd,New Zealand,Nottingham,17-Jun-15,England,Home,Away,2nd,first,lost,7 wickets,won, fast/green/bouncy,2ndinningwinner,fast/green/bouncy/swing
New Zealand,lost,England,won,first,England,Nottingham,17-Jun-15,England,Away,Home,first,2nd,won,7 wickets,lost, fast/green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,won,Bangladesh,won,first,India,Dhaka,18-Jun-15,Bangladesh,Home,Away,first,2nd,won,79 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
India,lost,Bangladesh,lost,2nd,Bangladesh,Dhaka,18-Jun-15,Bangladesh,Away,Home,2nd,first,lost,79 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
England,won,England,won,2nd,New Zealand,Chester-le-Street,20-Jun-15,England,Home,Away,2nd,first,won,3 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
New Zealand,lost,England,lost,first,England,Chester-le-Street,20-Jun-15,England,Away,Home,first,2nd,lost,3 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Bangladesh,won,Bangladesh,lost,2nd,India,Dhaka,21-Jun-15,Bangladesh,Home,Away,2nd,first,lost,6 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
India,lost,Bangladesh,won,first,Bangladesh,Dhaka,21-Jun-15,Bangladesh,Away,Home,first,2nd,won,6 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,lost,first,Bangladesh,Dhaka,24-Jun-15,Bangladesh,Away,Home,first,2nd,lost,77 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,India,won,2nd,India,Dhaka,24-Jun-15,Bangladesh,Home,Away,2nd,first,won,77 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
India,won,India,lost,first,Zimbabwe,Harare,10-Jul-15,Zimbabwe,Away,Home,first,2nd,lost,4 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,India,won,2nd,India,Harare,10-Jul-15,Zimbabwe,Home,Away,2nd,first,won,4 runs,lost,slow/low,1stinningwinner,slow/dusty
South Africa,won,South Africa,lost,2nd,Bangladesh,Dhaka,10-Jul-15,Bangladesh,Away,Home,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,South Africa,won,first,South Africa,Dhaka,10-Jul-15,Bangladesh,Home,Away,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Sri Lanka,lost,Pakistan,lost,first,Pakistan,Dambulla,11-Jul-15,Sri Lanka,Home,Away,first,2nd,lost,6 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
India,won,India,lost,first,Zimbabwe,Harare,12-Jul-15,Zimbabwe,Away,Home,first,2nd,lost,62 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,India,won,2nd,India,Harare,12-Jul-15,Zimbabwe,Home,Away,2nd,first,won,62 runs,lost,slow/low,1stinningwinner,slow/dusty
Bangladesh,won,Bangladesh,lost,2nd,South Africa,Dhaka,12-Jul-15,Bangladesh,Home,Away,2nd,first,lost,7 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
South Africa,lost,Bangladesh,won,first,Bangladesh,Dhaka,12-Jul-15,Bangladesh,Away,Home,first,2nd,won,7 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,lost,first,Zimbabwe,Harare,14-Jul-15,Zimbabwe,Away,Home,first,2nd,lost,83 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,India,won,2nd,India,Harare,14-Jul-15,Zimbabwe,Home,Away,2nd,first,won,83 runs,lost,slow/low,1stinningwinner,slow/dusty
Bangladesh,won,Bangladesh,lost,2nd,South Africa,Chattogram,15-Jul-15,Bangladesh,Home,Away,2nd,first,lost,9 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
South Africa,lost,Bangladesh,won,first,Bangladesh,Chattogram,15-Jul-15,Bangladesh,Away,Home,first,2nd,won,9 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,lost,2nd,Pakistan,Pallekele,15-Jul-15,Sri Lanka,Home,Away,2nd,first,lost,2 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,lost,Pakistan,lost,2nd,Pakistan,Colombo (RPS),19-Jul-15,Sri Lanka,Home,Away,2nd,first,lost,135 runs,won,dry/dusty,1stinningwinner,dry/dusty
Sri Lanka,lost,Pakistan,won,first,Pakistan,Colombo (RPS),22-Jul-15,Sri Lanka,Home,Away,first,2nd,won,7 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,first,Pakistan,Hambantota,26-Jul-15,Sri Lanka,Home,Away,first,2nd,won,165 runs,lost,slow/low/dusty,1stinningwinner,dry/dusty
Zimbabwe,won,Zimbabwe,won,2nd,New Zealand,Harare,2-Aug-15,Zimbabwe,Home,Away,2nd,first,won,7 wickets,lost,slow/low,2ndinningwinner,slow/dusty
New Zealand,lost,Zimbabwe,lost,first,Zimbabwe,Harare,2-Aug-15,Zimbabwe,Away,Home,first,2nd,lost,7 wickets,won,slow/low,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,lost,2nd,Zimbabwe,Harare,4-Aug-15,Zimbabwe,Away,Home,2nd,first,lost,10 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,won,first,New Zealand,Harare,4-Aug-15,Zimbabwe,Home,Away,first,2nd,won,10 wickets,lost,slow/low,2ndinningwinner,slow/dusty
New Zealand,won,New Zealand,lost,first,Zimbabwe,Harare,7-Aug-15,Zimbabwe,Away,Home,first,2nd,lost,38 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,won,2nd,New Zealand,Harare,7-Aug-15,Zimbabwe,Home,Away,2nd,first,won,38 runs,lost,slow/low,1stinningwinner,slow/dusty
South Africa,won,South Africa,lost,first,New Zealand,Centurion,19-Aug-15,South Africa,Home,Away,first,2nd,lost,20 runs,won,fast/green/low bounce,1stinningwinner,fast/high bounce
New Zealand,lost,South Africa,won,2nd,South Africa,Centurion,19-Aug-15,South Africa,Away,Home,2nd,first,won,20 runs,lost,fast/green/low bounce,1stinningwinner,fast/high bounce
New Zealand,won,New Zealand,lost,2nd,South Africa,Potchefstroom,23-Aug-15,South Africa,Away,Home,2nd,first,lost,8 wickets,won,fast/ low bounce,2ndinningwinner,fast/high bounce
South Africa,lost,New Zealand,won,first,New Zealand,Potchefstroom,23-Aug-15,South Africa,Home,Away,first,2nd,won,8 wickets,lost,fast/ low bounce,2ndinningwinner,fast/high bounce
South Africa,won,South Africa,won,first,New Zealand,Durban,26-Aug-15,South Africa,Home,Away,first,2nd,won,62 runs,lost,green/fast/ bouncy,1stinningwinner,fast/high bounce
New Zealand,lost,South Africa,lost,2nd,South Africa,Durban,26-Aug-15,South Africa,Away,Home,2nd,first,lost,62 runs,won,green/fast/ bouncy,1stinningwinner,fast/high bounce
Australia,won,Australia,won,first,Ireland,Belfast,27-Aug-15,Ireland,Away,Home,first,2nd,won,23 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy
Ireland,lost,Australia,lost,2nd,Australia,Belfast,27-Aug-15,Ireland,Home,Away,2nd,first,lost,23 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy
Australia,won,Australia,won,first,England,Southampton,3-Sep-15,England,Away,Home,first,2nd,won,59 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,lost,Australia,lost,2nd,Australia,Southampton,3-Sep-15,England,Home,Away,2nd,first,lost,59 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Australia,won,Australia,lost,first,England,Lords,5-Sep-15,England,Away,Home,first,2nd,lost,64 runs,won,green,1stinningwinner,fast/green/bouncy/swing
England,lost,Australia,won,2nd,Australia,Lords,5-Sep-15,England,Home,Away,2nd,first,won,64 runs,lost,green,1stinningwinner,fast/green/bouncy/swing
England,won,England,won,first,Australia,Manchester,8-Sep-15,England,Home,Away,first,2nd,won,93 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Australia,lost,England,lost,2nd,England,Manchester,8-Sep-15,England,Away,Home,2nd,first,lost,93 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
England,won,England,lost,2nd,Australia,Leeds,11-Sep-15,England,Home,Away,2nd,first,lost,3 wickets,won, fast/green,2ndinningwinner,fast/green/bouncy/swing
Australia,lost,England,won,first,England,Leeds,11-Sep-15,England,Away,Home,first,2nd,won,3 wickets,lost, fast/green,2ndinningwinner,fast/green/bouncy/swing
Australia,won,Australia,lost,2nd,England,Manchester,13-Sep-15,England,Away,Home,2nd,first,lost,8 wickets,won, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,lost,Australia,won,first,Australia,Manchester,13-Sep-15,England,Home,Away,first,2nd,won,8 wickets,lost, green/bouncy,2ndinningwinner,fast/green/bouncy/swing
Zimbabwe,lost,Pakistan,won,2nd,Pakistan,Harare,1-Oct-15,Zimbabwe,Home,Away,2nd,first,won,131 runs,lost,slow/low,1stinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,lost,first,Pakistan,Harare,3-Oct-15,Zimbabwe,Home,Away,first,2nd,lost,5 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,Pakistan,lost,first,Pakistan,Harare,5-Oct-15,Zimbabwe,Home,Away,first,2nd,lost,7 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,won,Zimbabwe,won,2nd,Ireland,Harare,9-Oct-15,Zimbabwe,Home,Away,2nd,first,won,2 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Ireland,lost,Zimbabwe,lost,first,Zimbabwe,Harare,9-Oct-15,Zimbabwe,Away,Home,first,2nd,lost,2 wickets,won,slow/low,2ndinningwinner,slow/dusty
South Africa,won,South Africa,won,first,India,Kanpur,11-Oct-15,India,Away,Home,first,2nd,won,5 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
India,lost,South Africa,lost,2nd,South Africa,Kanpur,11-Oct-15,India,Home,Away,2nd,first,lost,5 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,won,Zimbabwe,won,2nd,Ireland,Harare,11-Oct-15,Zimbabwe,Home,Away,2nd,first,won,5 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Ireland,lost,Zimbabwe,lost,first,Zimbabwe,Harare,11-Oct-15,Zimbabwe,Away,Home,first,2nd,lost,5 wickets,won,slow/low,2ndinningwinner,slow/dusty
Ireland,won,Ireland,won,2nd,Zimbabwe,Harare,13-Oct-15,Zimbabwe,Away,Home,2nd,first,won,2 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,Ireland,lost,first,Ireland,Harare,13-Oct-15,Zimbabwe,Home,Away,first,2nd,lost,2 wickets,won,slow/low,2ndinningwinner,slow/dusty
India,won,India,won,first,South Africa,Indore,14-Oct-15,India,Home,Away,first,2nd,won,22 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
South Africa,lost,India,lost,2nd,India,Indore,14-Oct-15,India,Away,Home,2nd,first,lost,22 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,won,Zimbabwe,lost,2nd,Afghanistan,Bulawayo,16-Oct-15,Zimbabwe,Home,Away,2nd,first,lost,8 wickets,won,slow/low,2ndinningwinner,slow/dusty
Afghanistan,lost,Zimbabwe,won,first,Zimbabwe,Bulawayo,16-Oct-15,Zimbabwe,Away,Home,first,2nd,won,8 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Afghanistan,won,Afghanistan,won,first,Zimbabwe,Bulawayo,18-Oct-15,Zimbabwe,Away,Home,first,2nd,won,58 runs,lost,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,Afghanistan,lost,2nd,Afghanistan,Bulawayo,18-Oct-15,Zimbabwe,Home,Away,2nd,first,lost,58 runs,won,slow/low,1stinningwinner,slow/dusty
South Africa,won,South Africa,won,first,India,Rajkot,18-Oct-15,India,Away,Home,first,2nd,won,18 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
India,lost,South Africa,lost,2nd,South Africa,Rajkot,18-Oct-15,India,Home,Away,2nd,first,lost,18 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Zimbabwe,won,Zimbabwe,lost,2nd,Afghanistan,Bulawayo,20-Oct-15,Zimbabwe,Home,Away,2nd,first,lost,6 wickets,won,slow/low,2ndinningwinner,slow/dusty
Afghanistan,lost,Zimbabwe,won,first,Zimbabwe,Bulawayo,20-Oct-15,Zimbabwe,Away,Home,first,2nd,won,6 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Afghanistan,won,Afghanistan,lost,2nd,Zimbabwe,Bulawayo,22-Oct-15,Zimbabwe,Away,Home,2nd,first,lost,3 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,Afghanistan,won,first,Afghanistan,Bulawayo,22-Oct-15,Zimbabwe,Home,Away,first,2nd,won,3 wickets,lost,slow/low,2ndinningwinner,slow/dusty
India,won,India,won,first,South Africa,Chennai,22-Oct-15,India,Home,Away,first,2nd,won,35 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
South Africa,lost,India,lost,2nd,India,Chennai,22-Oct-15,India,Away,Home,2nd,first,lost,35 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Afghanistan,won,Afghanistan,lost,first,Zimbabwe,Bulawayo,24-Oct-15,Zimbabwe,Away,Home,first,2nd,lost,73 runs,won,slow/low,1stinningwinner,slow/dusty
Zimbabwe,lost,Afghanistan,won,2nd,Afghanistan,Bulawayo,24-Oct-15,Zimbabwe,Home,Away,2nd,first,won,73 runs,lost,slow/low,1stinningwinner,slow/dusty
South Africa,won,South Africa,won,first,India,Mumbai,25-Oct-15,India,Away,Home,first,2nd,won,214 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
India,lost,South Africa,lost,2nd,South Africa,Mumbai,25-Oct-15,India,Home,Away,2nd,first,lost,214 runs,won,slow/dead/flat,1stinningwinner,flat/dead
Sri Lanka,won,Sri Lanka,won,2nd,West Indies,Colombo (RPS),1-Nov-15,Sri Lanka,Home,Away,2nd,first,won,1 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
West Indies,lost,Sri Lanka,lost,first,Sri Lanka,Colombo (RPS),1-Nov-15,Sri Lanka,Away,Home,first,2nd,lost,1 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,lost,2nd,West Indies,Colombo (RPS),4-Nov-15,Sri Lanka,Home,Away,2nd,first,lost,8 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
West Indies,lost,Sri Lanka,won,first,Sri Lanka,Colombo (RPS),4-Nov-15,Sri Lanka,Away,Home,first,2nd,won,8 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Bangladesh,won,Bangladesh,lost,first,Zimbabwe,Dhaka,7-Nov-15,Bangladesh,Home,Away,first,2nd,lost,145 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,Bangladesh,won,2nd,Bangladesh,Dhaka,7-Nov-15,Bangladesh,Away,Home,2nd,first,won,145 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,won,Sri Lanka,won,2nd,West Indies,Pallekele,7-Nov-15,Sri Lanka,Home,Away,2nd,first,won,19 runs,lost,dry/dusty,1stinningwinner,dry/dusty
West Indies,lost,Sri Lanka,lost,first,Sri Lanka,Pallekele,7-Nov-15,Sri Lanka,Away,Home,first,2nd,lost,19 runs,won,dry/dusty,1stinningwinner,dry/dusty
Bangladesh,won,Bangladesh,lost,first,Zimbabwe,Dhaka,9-Nov-15,Bangladesh,Home,Away,first,2nd,lost,58 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,Bangladesh,won,2nd,Bangladesh,Dhaka,9-Nov-15,Bangladesh,Away,Home,2nd,first,won,58 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,won,Bangladesh,won,first,Zimbabwe,Dhaka,11-Nov-15,Bangladesh,Home,Away,first,2nd,won,61 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Zimbabwe,lost,Bangladesh,lost,2nd,Bangladesh,Dhaka,11-Nov-15,Bangladesh,Away,Home,2nd,first,lost,61 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
England,lost,Pakistan,won,first,Pakistan,Abu Dhabi,11-Nov-15,Abu Dhabi,Neutral,Neutral,first,2nd,won,6 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
England,won,England,won,first,Pakistan,Abu Dhabi,13-Nov-15,Abu Dhabi,Neutral,Neutral,first,2nd,won,95 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
England,won,England,lost,2nd,Pakistan,Sharjah,17-Nov-15,U.A.E,Neutral,Neutral,2nd,first,lost,6 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
England,won,England,won,first,Pakistan,Dubai (DSC),20-Nov-15,U.A.E,Neutral,Neutral,first,2nd,won,84 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Afghanistan,won,Afghanistan,won,first,Zimbabwe,Sharjah,25-Dec-15,U.A.E,Neutral,Neutral,first,2nd,won,49 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Zimbabwe,lost,Afghanistan,lost,2nd,Afghanistan,Sharjah,25-Dec-15,U.A.E,Neutral,Neutral,2nd,first,lost,49 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
New Zealand,won,New Zealand,lost,2nd,Sri Lanka,Christchurch,26-Dec-15,New Zealand,Home,Away,2nd,first,lost,7 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,won,first,New Zealand,Christchurch,26-Dec-15,New Zealand,Away,Home,first,2nd,won,7 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,won,New Zealand,lost,2nd,Sri Lanka,Christchurch,28-Dec-15,New Zealand,Home,Away,2nd,first,lost,10 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,won,first,New Zealand,Christchurch,28-Dec-15,New Zealand,Away,Home,first,2nd,won,10 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Afghanistan,won,Afghanistan,lost,2nd,Zimbabwe,Sharjah,29-Dec-15,U.A.E,Neutral,Neutral,2nd,first,lost,4 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
Zimbabwe,lost,Afghanistan,won,first,Afghanistan,Sharjah,29-Dec-15,U.A.E,Neutral,Neutral,first,2nd,won,4 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Sri Lanka,won,Sri Lanka,lost,2nd,New Zealand,Nelson,31-Dec-15,New Zealand,Away,Home,2nd,first,lost,8 wickets,won, green/fast/bouncy ,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,Sri Lanka,won,first,Sri Lanka,Nelson,31-Dec-15,New Zealand,Home,Away,first,2nd,won,8 wickets,lost, green/fast/bouncy ,2ndinningwinner,fast/green/swing/bouncy
Zimbabwe,won,Zimbabwe,won,first,Afghanistan,Sharjah,2-Jan-16,U.A.E,Neutral,Neutral,first,2nd,won,117 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Afghanistan,lost,Zimbabwe,lost,2nd,Zimbabwe,Sharjah,2-Jan-16,U.A.E,Neutral,Neutral,2nd,first,lost,117 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
Zimbabwe,won,Zimbabwe,won,first,Afghanistan,Sharjah,4-Jan-16,U.A.E,Neutral,Neutral,first,2nd,won,65 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Afghanistan,lost,Zimbabwe,lost,2nd,Zimbabwe,Sharjah,4-Jan-16,U.A.E,Neutral,Neutral,2nd,first,lost,65 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
New Zealand,won,New Zealand,lost,first,Sri Lanka,Mount Maunganui,5-Jan-16,New Zealand,Home,Away,first,2nd,lost,36 runs,won, green/fast/bouncy ,1stinningwinner,fast/green/swing/bouncy
Sri Lanka,lost,New Zealand,won,2nd,New Zealand,Mount Maunganui,5-Jan-16,New Zealand,Away,Home,2nd,first,won,36 runs,lost, green/fast/bouncy ,1stinningwinner,fast/green/swing/bouncy
Afghanistan,won,Afghanistan,lost,2nd,Zimbabwe,Sharjah,6-Jan-16,U.A.E,Neutral,Neutral,2nd,first,lost,2 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
Zimbabwe,lost,Afghanistan,won,first,Afghanistan,Sharjah,6-Jan-16,U.A.E,Neutral,Neutral,first,2nd,won,2 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Australia,won,Australia,lost,2nd,India,Perth,12-Jan-16,Australia,Home,Away,2nd,first,lost,5 wickets,won,fast/bouncy,2ndinningwinner,fast/ high bounce
India,lost,Australia,won,first,Australia,Perth,12-Jan-16,Australia,Away,Home,first,2nd,won,5 wickets,lost,fast/bouncy,2ndinningwinner,fast/ high bounce
Australia,won,Australia,lost,2nd,India,Brisbane,15-Jan-16,Australia,Home,Away,2nd,first,lost,7 wickets,won,fast/ bouncy,2ndinningwinner,fast/ high bounce
India,lost,Australia,won,first,Australia,Brisbane,15-Jan-16,Australia,Away,Home,first,2nd,won,7 wickets,lost,fast/ bouncy,2ndinningwinner,fast/ high bounce
