Team1,Team2,Ground,Toss,Bat,Winner
Australia, Pakistan,Dubai (DSC),loss,2nd,Australia
South Africa, Australia,Adelaide,loss,2nd,South Africa
Australia, South Africa,Melbourne,loss,2nd,Australia
Australia, South Africa,Sydney,win,2nd,Australia
Hong Kong, Nepal,Colombo (PSS),win,2nd,Hong Kong
Pakistan, New Zealand,Dubai (DSC),win,2nd,Pakistan
New Zealand, Pakistan,Dubai (DSC),loss,first,New Zealand
West Indies, South Africa,Cape Town,loss,2nd,West Indies
West Indies, South Africa,Johannesburg,win,2nd,West Indies
South Africa, West Indies,Durban,loss,first,South Africa
Bangladesh, Pakistan,Dhaka,loss,2nd,Bangladesh
Pakistan, Zimbabwe,Lahore,loss,2nd,Pakistan
Pakistan, Zimbabwe,Lahore,loss,2nd,Pakistan
Scotland, Ireland,Bready,loss,2nd,Scotland
Scotland, Ireland,Bready,win,2nd,Scotland
England, New Zealand,Manchester,win,first,England
Netherlands, Nepal,Amstelveen,win,first,Netherlands
Netherlands, Nepal,Amstelveen,loss,first,Netherlands
Netherlands, Nepal,Rotterdam,win,first,Netherlands
Nepal, Netherlands,Rotterdam,loss,2nd,Nepal
South Africa, Bangladesh,Dhaka,win,first,South Africa
South Africa, Bangladesh,Dhaka,win,first,South Africa
Scotland, U.A.E.,Edinburgh,win,2nd,Scotland
Afghanistan, Netherlands,Edinburgh,loss,first,Afghanistan
Afghanistan, U.A.E.,Edinburgh,loss,2nd,Afghanistan
Netherlands, Scotland,Edinburgh,win,first,Netherlands
Netherlands, U.A.E.,Edinburgh,win,2nd,Netherlands
Afghanistan, Scotland,Edinburgh,win,first,Afghanistan
Ireland, Nepal,Belfast,win,2nd,Ireland
P.N.G., Ireland,Belfast,loss,2nd,P.N.G.
Hong Kong, Nepal,Belfast,win,2nd,Hong Kong
P.N.G., Nepal,Dublin (Malahide),win,2nd,P.N.G.
India, Zimbabwe,Harare,win,first,India
Hong Kong, Ireland,Dublin (Malahide),loss,first,Hong Kong
Zimbabwe, India,Harare,win,first,Zimbabwe
Hong Kong, Afghanistan,Dublin (Malahide),loss,2nd,Hong Kong
Afghanistan, P.N.G.,Dublin (Malahide),loss,2nd,Afghanistan
Scotland, Hong Kong,Dublin (Malahide),win,2nd,Scotland
Afghanistan, Oman,Dublin,win,2nd,Afghanistan
Netherlands, Ireland,Dublin (Malahide),win,2nd,Netherlands
Pakistan, Sri Lanka,Colombo (RPS),win,first,Pakistan
Pakistan, Sri Lanka,Colombo (RPS),loss,2nd,Pakistan
New Zealand, Zimbabwe,Harare,loss,first,New Zealand
South Africa, New Zealand,Durban,win,2nd,South Africa
New Zealand, South Africa,Centurion,win,first,New Zealand
England, Australia,Cardiff,loss,first,England
Pakistan, Zimbabwe,Harare,win,first,Pakistan
Pakistan, Zimbabwe,Harare,win,first,Pakistan
South Africa, India,Dharamsala,win,2nd,South Africa
South Africa, India,Cuttack,win,2nd,South Africa
Afghanistan, Zimbabwe,Bulawayo,loss,2nd,Afghanistan
